Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,ConcreteCompressiveStrength
178,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,14,34.240002
310,0,0,192,0,1012,830,3,11.85
310,0,0,192,0,970,850,180,37.330002
349,0,0,192,0,1047,806,90,39.490002
393,0,0,192,0,940.599976,785.599976,90,48.849998
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,7,38
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,56,53.720001
313,145,0,127,8,1000,822,28,44.52
439,177,0,186,11.1,884.900024,707.900024,7,56.099998
166,259.700012,0,183.199997,12.7,858.799988,826.799988,28,37.919998
237.5,237.5,0,228,0,932,594,90,33.119999
540,0,0,173,0,1125,613,270,74.169998
212,0,124.800003,159,7.8,1085.400024,799.5,28,38.5
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,56,38.560001
275.100006,0,121.400002,159.5,9.9,1053.599976,777.5,100,58.610001
252.300003,0,98.800003,146.300003,14.2,987.799988,889,14,42.290001
168,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,14,17.82
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,100,33.540001
277,0,0,191,0,968,856,3,11.36
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,100,63.529999
326,166,0,174,9,882,790,28,61.23
143,169.399994,142.699997,190.699997,8.4,967.400024,643.5,28,29.73
236,157,0,192,0,972.599976,749.099976,28,32.880001
290.200012,193.5,0,185.699997,0,998.200012,704.299988,7,21.860001
321,0,128,182,11,870,780,28,37.259998
198.600006,132.399994,0,192,0,978.400024,825.5,180,41.720001
218.199997,54.599998,123.800003,140.800003,11.9,1075.699951,792.700012,56,61.990002
225,0,0,181,0,1113,833,7,11.17
297,0,0,186,0,1040,734,7,30.959999
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,14,42.220001
141.300003,212,0,203.5,0,971.799988,748.5,7,10.39
213.800003,98.099998,24.5,181.699997,6.7,1066,785.5,56,47.130001
305.299988,203.5,0,203.5,0,965.400024,631,90,54.599998
212.5,0,100.400002,159.300003,8.7,1007.799988,903.599976,56,42.549999
491,26,123,210,3.9,882,699,3,25.610001
342,38,0,228,0,932,670,180,52.119999
251.800003,0,99.900002,146.100006,12.4,1006,899.799988,14,33.360001
198.600006,132.399994,0,192,0,978.400024,825.5,7,14.64
304,76,0,228,0,932,670,365,55.259998
505,0,60,195,0,1030,630,28,64.019997
425,106.300003,0,153.5,16.5,852.099976,887.099976,28,60.290001
165,0,143.600006,163.800003,0,1005.599976,900.900024,3,14.4
183.899994,122.599998,0,203.5,0,959.200012,800,28,24.049999
382,0,0,186,0,1047,739,28,37.419998
203.5,305.299988,0,203.5,0,963.400024,630,28,41.68
213.699997,98.099998,24.5,181.699997,6.9,1065.800049,785.400024,100,53.900002
500,0,0,200,0,1125,613,270,55.16
540,0,0,162,2.5,1040,676,28,79.989998
275,0,0,183,0,1088,808,7,14.2
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,3,21.91
469,117.199997,0,137.800003,32.200001,852.099976,840.5,91,70.699997
139.899994,132.600006,103.300003,200.300003,7.4,916,753.400024,28,36.439999
321.299988,164.199997,0,190.5,4.6,870,774,28,57.220001
397,0,0,185.699997,0,1040.599976,734.299988,7,25.450001
190,190,0,228,0,932,670,270,50.66
475,118.800003,0,181.100006,8.9,852.099976,781.5,7,55.599998
366,187,0,191.300003,6.6,824.299988,756.900024,28,65.910004
380,95,0,228,0,932,594,90,40.560001
213.5,0,174.199997,159.199997,11.7,1043.599976,771.900024,3,15.61
310,0,0,192,0,970,850,360,38.110001
425,106.300003,0,153.5,16.5,852.099976,887.099976,56,64.300003
325.600006,166.399994,0,174,8.9,881.599976,790,28,61.240002
439,177,0,186,11.1,884.900024,707.900024,91,73.300003
295.700012,0,95.599998,171.5,8.9,955.099976,859.200012,100,52.040001
254,0,0,198,0,968,863,3,9.31
469,117.199997,0,137.800003,32.200001,852.099976,840.5,3,40.200001
252.5,0,0,185.699997,0,1111.599976,784.299988,7,11.48
143.699997,170.199997,132.600006,191.600006,8.5,814.099976,805.299988,28,29.870001
425,106.300003,0,151.399994,18.6,936,803.700012,3,36.299999
302,0,0,203,0,974,817,14,18.129999
249.100006,0,98.800003,158.100006,12.8,987.799988,889,3,15.36
134.699997,0,165.699997,180.199997,10,961,804.900024,28,13.29
500,0,0,200,0,1125,613,1,12.64
425,106.300003,0,153.5,16.5,852.099976,887.099976,3,33.400002
298,0,107,164,13,953,784,28,35.860001
212,141.300003,0,203.5,0,973.400024,750,3,6.81
145,0,179,202,8,824,869,28,10.54
313,0,113,178,8,1002,689,28,36.799999
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,3,11.58
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,28,47.400002
362.600006,189,0,164.899994,11.6,944.700012,755.799988,91,79.300003
296,0,0,186,0,1090,769,28,25.18
425,106.300003,0,153.5,16.5,852.099976,887.099976,56,64.300003
144,170,133,192,8,814,805,28,29.870001
310,143,111,168,22,914,651,28,33.689999
339,0,0,197,0,968,781,3,13.22
500,0,0,200,0,1125,613,28,44.09
375,93.800003,0,126.599998,23.4,852.099976,992.599976,28,56.700001
528,0,0,185,6.9,920,720,28,56.830002
266,114,0,228,0,932,670,180,48.700001
362.600006,189,0,164.899994,11.6,944.700012,755.799988,56,77.300003
145.699997,172.600006,0,181.899994,3.4,985.799988,816.799988,28,23.74
277,0,0,191,0,968,856,90,31.25
275.100006,0,121.400002,159.5,9.9,1053.599976,777.5,14,38.77
183.899994,122.599998,0,203.5,0,959.200012,800,3,4.9
314,145,113,179,8,869,690,28,46.23
178,129.800003,118.599998,179.899994,3.6,1007.299988,746.799988,56,48.59
374,189.199997,0,170.100006,10.1,926.099976,756.700012,56,63.400002
424,22,132,178,8.5,822,750,7,39
425,106.300003,0,151.399994,18.6,936,803.700012,28,61.799999
234,156,0,189,5.9,981,760,28,39.299999
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,14,36.990002
153,239,0,200,6,1002,684,28,26.860001
326.5,0,137.899994,199,10.8,801.099976,792.5,28,38.630001
446,24,79,162,11.6,967,712,56,56.139999
516,0,0,162,8.2,801,802,28,41.369999
385,0,0,186,0,966,763,3,14.7
491,26,123,201,3.9,822,699,3,29.549999
261,100,78,201,9,864,761,28,32.400002
250,0,0,182,0,1100,820,28,20.870001
250,0,95.699997,187.399994,5.5,956.900024,861.200012,3,13.82
307,0,0,193,0,968,812,3,12.54
212,0,124.800003,159,7.8,1085.400024,799.5,100,47.82
272.799988,181.899994,0,185.699997,0,1012.400024,714.299988,7,19.77
322,0,0,203,0,974,800,14,20.77
255,0,0,192,0,889.799988,945,28,18.75
146.5,114.599998,89.300003,201.899994,8.8,860,829.5,28,19.99
225,0,0,181,0,1113,833,28,17.34
132,207,161,179,5,867,736,28,33.299999
159.800003,250,0,168.399994,12.2,1049.300049,688.200012,28,39.459999
331,0,0,192,0,1025,821,28,31.74
339,0,0,185,0,1060,754,28,31.65
150,236.800003,0,173.800003,11.9,1069.300049,674.799988,28,37.43
480,0,0,192,0,936.200012,712.200012,28,43.939999
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,56,35.849998
349,0,0,192,0,1056,809,90,40.66
194.699997,0,100.5,165.600006,7.5,1006.400024,905.900024,3,12.45
393,0,0,192,0,940,758,3,19.110001
321.399994,0,127.900002,182.5,11.5,870.099976,779.700012,28,37.27
183.899994,122.599998,0,203.5,0,959.200012,800,90,32.529999
214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,56,53.959999
310,0,0,192,0,1012,830,120,38.700001
439,177,0,186,11.1,884.900024,707.900024,28,66
356,119,0,160,9,1061,657,28,59
387,20,94,157,13.9,938,845,7,45.900002
250,0,95.699997,187.399994,5.5,956.900024,861.200012,100,42.349998
238.199997,158.800003,0,185.699997,0,1040.599976,734.299988,7,15.69
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,56,66.099998
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,100,47.740002
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,14,22.719999
252.300003,0,98.800003,146.300003,14.2,987.799988,889,56,55.830002
153,102,0,192,0,888,943.099976,7,8.37
162,190.100006,148.100006,178.800003,18.799999,838.099976,741.400024,28,33.759998
389.899994,189,0,145.899994,22,944.700012,755.799988,56,79.400002
298,137,107,201,6,878,655,28,53.52
152,0,112,184,8,992,816,28,12.18
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,3,23.52
168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,14,23.51
388.600006,97.099998,0,157.899994,12.1,852.099976,925.700012,91,57.599998
388.600006,97.099998,0,157.899994,12.1,852.099976,925.700012,56,55.200001
213.699997,0,174.699997,154.800003,10.2,1053.5,776.400024,100,50.080002
141.300003,212,0,203.5,0,971.799988,748.5,3,4.83
148.5,139.399994,108.599998,192.699997,6.1,892.400024,780,28,23.700001
108.300003,162.399994,0,203.5,0,938.200012,849,3,2.33
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,56,35.57
272.799988,181.899994,0,185.699997,0,1012.400024,714.299988,28,31.379999
144,15,195,176,6,1021,709,28,15.34
286.299988,200.899994,0,144.699997,11.2,1004.599976,803.700012,3,24.4
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,14,29.93
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,56,39.27
296,0,107,221,11,819,778,28,31.42
326,0,138,199,11,801,792,28,40.68
261.899994,110.5,86.099998,195.399994,5,895.200012,732.599976,28,33.720001
140,164,128,237,6,869,656,28,35.23
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,28,28.469999
147,115,89,202,9,860,829,28,19.99
296,0,106.699997,221.399994,10.5,819.200012,778.400024,28,31.42
310,0,0,192,0,970,850,28,27.92
387,20,94,157,11.6,938,845,7,41.669998
305.299988,203.5,0,203.5,0,965.400024,631,3,14.14
155,183,0,193,9,1047,697,28,18.280001
387,20,94,157,14.3,938,845,28,50.240002
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,56,44.400002
376,0,0,214.600006,0,1003.5,762.400024,14,25.620001
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,56,66.82
166.800003,250.199997,0,203.5,0,975.599976,692.599976,3,6.9
190.699997,0,125.400002,162.100006,7.8,1090,804,3,15.04
255.5,170.300003,0,185.699997,0,1026.599976,724.299988,7,17.24
214.899994,53.799999,121.900002,155.600006,9.6,1014.299988,780.599976,28,52.200001
141.300003,212,0,203.5,0,971.799988,748.5,28,29.889999
154.800003,183.399994,0,193.300003,9.1,877.200012,867.700012,28,23.790001
446,24,79,162,11.6,967,712,3,25.02
331,0,0,192,0,978,825,90,37.23
446,24,79,162,11.6,967,712,7,38.02
156,243,0,180,11,1022,698,28,37.360001
289,0,0,192,0,913.200012,895.299988,7,14.6
262,111,86,195,5,895,733,28,33.720001
190.699997,0,125.400002,162.100006,7.8,1090,804,28,26.4
166.800003,250.199997,0,203.5,0,975.599976,692.599976,28,33.950001
491,26,123,201,3.9,822,699,56,61.860001
333,17.5,163,167,17.9,996,652,28,47.279999
231.800003,0,121.599998,174,6.7,1056.400024,778.5,56,42.700001
236,0,0,194,0,968,885,14,12.84
387,20,94,157,14.3,938,845,56,56.34
155,183,0,193,9,877,868,28,23.790001
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,28,56.400002
272.600006,0,89.599998,198.699997,10.6,931.299988,762.200012,28,32.25
446,24,79,162,11.6,967,712,28,57.029999
184,86,190,213,6,923,623,28,22.93
255.300003,98.800003,77,188.600006,6.5,919,749.299988,28,33.799999
425,106.300003,0,153.5,16.5,852.099976,887.099976,7,49.200001
522,0,0,146,0,896,896,7,50.509998
322,0,116,196,10,818,813,28,31.18
297.200012,0,117.5,174.800003,9.5,1022.799988,753.5,56,51.959999
290.399994,0,96.199997,168.100006,9.4,961.200012,865,56,45.080002
500,0,0,140,4,966,853,28,67.57
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,14,33.700001
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,100,37.68
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,3,15.82
168,42.099998,163.800003,121.800003,5.7,1058.699951,780.099976,56,32.849998
168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,3,7.4
469,117.199997,0,137.800003,32.200001,852.099976,840.5,28,66.900002
332.5,142.5,0,228,0,932,594,365,41.049999
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,3,10.76
310,0,0,192,0,1012,830,90,35.759998
249.100006,0,98.800003,158.100006,12.8,987.799988,889,14,28.68
305.299988,203.5,0,203.5,0,965.400024,631,7,25.889999
520,0,0,170,5.2,855,855,28,60.279999
143,169,143,191,8,967,643,28,29.719999
491,26,123,201,3.9,822,699,28,57.919998
250.199997,166.800003,0,203.5,0,977.599976,694.099976,3,9.73
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,100,50.939999
252.300003,0,98.800003,146.300003,14.2,987.799988,889,28,50.599998
202,11,141,206,1.7,942,801,7,15.07
148,0,137,158,16,1002,830,28,17.950001
362.600006,189,0,164.899994,11.6,944.700012,755.799988,28,71.300003
516,0,0,162,8.3,801,802,28,41.369999
213.5,0,174.199997,159.199997,11.7,1043.599976,771.900024,14,29.59
160,250,0,168,12,1049,688,28,39.450001
314,145.300003,113.199997,178.899994,8,869.099976,690.200012,28,46.23
266,114,0,228,0,932,670,28,45.849998
167,75.400002,167,164,7.9,1007.299988,770.099976,28,41.41
424,22,132,168,8.9,822,750,3,32.110001
251.800003,0,99.900002,146.100006,12.4,1006,899.799988,56,44.139999
475,118.800003,0,181.100006,8.9,852.099976,781.5,56,72.300003
154.800003,183.399994,0,193.300003,9.1,1047.400024,696.700012,28,18.290001
239.600006,359.399994,0,185.699997,0,941.599976,664.299988,28,39.439999
379.5,151.199997,0,153.899994,15.9,1134.300049,605,28,52.200001
133,200,0,192,0,927.400024,839.200012,7,13.66
313.799988,0,112.599998,169.899994,10.1,925.299988,782.900024,28,38.459999
194.699997,0,100.5,170.199997,7.5,998,901.799988,14,24.280001
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,100,45.369999
393,0,0,192,0,940.599976,785.599976,28,39.599998
385,0,0,186,0,966,763,1,6.27
202,11,141,206,1.7,942,801,28,21.969999
276,116,90,180,9,870,768,28,44.279999
427.5,47.5,0,228,0,932,594,28,37.43
233.800003,0,94.599998,197.899994,4.6,947,852.200012,100,34.560001
427.5,47.5,0,228,0,932,594,90,41.540001
236,0,0,194,0,968,885,3,6.47
362.600006,189,0,164.899994,11.6,944.700012,755.799988,28,71.300003
153,145,113,178,8,867,824,28,26.23
322,0,0,203,0,974,800,28,25.18
339,0,0,197,0,968,781,7,20.969999
350,0,0,186,0,1050,770,28,34.290001
218.899994,0,124.099998,158.5,11.3,1078.699951,794.900024,28,30.219999
108.300003,162.399994,0,203.5,0,938.200012,849,7,7.72
350,0,0,203,0,974,775,14,22.530001
337.899994,189,0,174.899994,9.5,944.700012,755.799988,7,35.099998
312.899994,160.5,0,177.600006,9.6,916.599976,759.5,28,52.450001
203.5,135.699997,0,185.699997,0,1076.199951,759.299988,7,11.96
325,0,0,184,0,1063,783,28,30.57
400,0,0,187,0,1025,745,28,43.700001
266.200012,112.300003,87.5,177.899994,10.4,909.700012,744.5,28,39.419998
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,3,7.32
277.100006,0,97.400002,160.600006,11.8,973.900024,875.599976,3,23.139999
213.5,0,174.199997,154.600006,11.7,1052.300049,775.5,56,51.43
424,22,132,168,8.9,822,750,56,74.360001
485,0,0,146,0,1120,800,28,71.989998
136,162,126,172,10,923,764,28,29.07
153,102,0,192,0,888,943.099976,3,4.78
200,200,0,190,0,1145,660,28,49.25
362.600006,189,0,164.899994,11.6,944.700012,755.799988,28,71.300003
152,178,139,168,18,944,695,28,36.349998
275.100006,0,121.400002,159.5,9.9,1053.599976,777.5,28,51.330002
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,14,20.73
331,0,0,192,0,1025,821,90,37.91
446,24,79,162,11.6,967,712,56,61.07
323.700012,282.799988,0,183.800003,10.3,942.700012,659.900024,56,80.199997
491,26,123,201,3.9,822,699,7,37.919998
182,45.200001,122,170.199997,8.2,1059.400024,780.700012,14,21.5
316.100006,210.699997,0,185.699997,0,977,689.299988,28,38.700001
236,0,0,193,0,968,885,180,24.1
154.800003,0,142.800003,193.300003,9.1,877.200012,867.700012,28,9.74
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,14,25.370001
190,190,0,228,0,932,670,28,40.860001
350,0,0,203,0,974,775,7,18.129999
141.300003,212,0,203.5,0,971.799988,748.5,90,39.66
194.699997,0,100.5,170.199997,7.5,998,901.799988,100,44.279999
200,0,0,180,0,1125,845,28,12.25
246.800003,0,125.099998,143.300003,12,1086.800049,800.900024,28,52.5
220.800003,147.199997,0,185.699997,0,1055,744.299988,7,13.09
525,0,0,189,0,1125,613,3,33.799999
139.600006,209.399994,0,192,0,1047,806.900024,3,8.06
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,91,68.099998
181.399994,0,167,169.600006,7.6,1055.599976,777.799988,3,13.62
198.600006,132.399994,0,192,0,978.400024,825.5,360,44.299999
475,0,0,228,0,932,594,7,38.599998
387,20,94,157,11.6,938,845,28,46.68
349,0,0,192,0,1056,809,3,15.87
249.100006,0,98.800003,158.100006,12.8,987.799988,889,28,30.85
307,0,0,193,0,968,812,180,34.490002
162,190,148,179,19,838,741,28,33.759998
375,93.800003,0,126.599998,23.4,852.099976,992.599976,3,29
251.399994,0,118.300003,188.5,5.8,1028.400024,757.700012,28,29.65
531.299988,0,0,141.800003,28.200001,852.099976,893.700012,91,59.200001
277.100006,0,97.400002,160.600006,11.8,973.900024,875.599976,100,55.639999
190.300003,0,125.199997,161.899994,9.9,1088.099976,802.599976,3,9.45
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,3,13.36
469,117.199997,0,137.800003,32.200001,852.099976,840.5,56,69.300003
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,7,54.099998
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,28,37.400002
446,24,79,162,11.6,967,712,7,39.299999
374,189.199997,0,170.100006,10.1,926.099976,756.700012,7,46.200001
266,114,0,228,0,932,670,270,51.73
339,0,0,197,0,968,781,14,27.040001
387,20,94,157,11.6,938,845,3,34.77
144,0,175,158,18,943,844,28,15.42
375,0,0,186,0,1038,758,28,38.209999
136.399994,161.600006,125.800003,171.600006,10.4,922.599976,764.400024,28,29.07
158.399994,0,194.899994,219.699997,11,897.700012,712.900024,28,8.54
254,0,0,198,0,968,863,180,27.629999
318.799988,212.5,0,155.699997,14.3,852.099976,880.400024,7,33.400002
203.5,305.299988,0,203.5,0,963.400024,630,3,9.56
139.600006,209.399994,0,192,0,1047,806.900024,7,14.59
222.399994,0,96.699997,189.300003,4.5,967.099976,870.299988,100,40.709999
165,0,143.600006,163.800003,0,1005.599976,900.900024,56,36.560001
284,15,141,179,5.5,842,801,7,24.129999
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,14,29.549999
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,100,55.02
259.899994,100.599998,78.400002,170.600006,10.4,935.700012,762.900024,28,49.77
376,0,0,214.600006,0,1003.5,762.400024,28,31.969999
381.399994,0,0,185.699997,0,1104.599976,784.299988,7,14.54
339.200012,0,0,185.699997,0,1069.199951,754.299988,28,31.9
425,106.300003,0,153.5,16.5,852.099976,887.099976,56,64.300003
331,0,0,192,0,1025,821,3,14.31
168.899994,42.200001,124.300003,158.300003,10.8,1080.800049,796.200012,56,39.150002
333,0,0,192,0,931.200012,842.599976,3,15.62
375,0,0,186,0,1038,758,7,26.059999
250,0,0,182,0,1100,820,7,12.73
500,0,0,200,0,1125,613,180,51.040001
525,0,0,189,0,1125,613,7,42.419998
295,0,0,185,0,1069,769,28,25.18
255.5,170.300003,0,185.699997,0,1026.599976,724.299988,28,32.049999
194.699997,0,100.5,170.199997,7.5,998,901.799988,3,12.18
525,0,0,189,0,1125,613,14,48.400002
238.100006,0,94.099998,186.699997,7,949.900024,847,3,19.93
322,149,0,186,8,951,709,28,52.419998
193.5,290.200012,0,185.699997,0,998.200012,704.299988,28,32.630001
287,121,94,188,9,904,696,28,41.939999
153.100006,145,113,178.5,8,1001.900024,688.700012,28,25.559999
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,28,33.27
366,187,0,191,7,824,757,28,65.910004
165,0,143.600006,163.800003,0,1005.599976,900.900024,100,37.959999
266,114,0,228,0,932,670,365,52.91
233.800003,0,94.599998,197.899994,4.6,947,852.200012,3,10.38
190.300003,0,125.199997,166.600006,9.9,1079,798.900024,3,12.55
254,0,0,198,0,968,863,90,26.940001
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,56,48.990002
212.600006,0,100.400002,159.399994,10.4,1003.799988,903.799988,3,13.33
339,0,0,185,0,1069,754,28,31.84
213.699997,0,174.699997,154.800003,10.2,1053.5,776.400024,14,33.73
166.100006,0,163.300003,176.5,4.5,1058.599976,780.099976,14,25.48
313.299988,262.200012,0,175.5,8.6,1046.900024,611.799988,3,28.799999
252,0,0,185,0,1111,784,28,19.690001
469,117.199997,0,137.800003,32.200001,852.099976,840.5,7,54.900002
194.699997,0,100.5,165.600006,7.5,1006.400024,905.900024,56,33.959999
250.199997,166.800003,0,203.5,0,977.599976,694.099976,90,47.709999
313.299988,262.200012,0,175.5,8.6,1046.900024,611.799988,28,59.799999
380,95,0,228,0,932,594,270,41.150002
339.200012,0,0,185.699997,0,1069.199951,754.299988,7,21.18
446,24,79,162,11.6,967,712,3,23.35
212,141.300003,0,203.5,0,973.400024,750,28,33
238.100006,0,94.099998,186.699997,7,949.900024,847,100,44.299999
310,0,0,192,0,970,850,90,34.68
237.5,237.5,0,228,0,932,594,28,30.08
273,0,90,199,11,931,762,28,32.240002
313.299988,145,0,178.5,8,867.200012,824,28,40.93
389.899994,189,0,145.899994,22,944.700012,755.799988,7,59.09
379.5,151.199997,0,153.899994,15.9,1134.300049,605,56,54.900002
331,0,0,192,0,978,825,7,16.26
275,0,0,183,0,1088,808,28,24.5
385,0,0,186,0,966,763,14,27.92
